id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q391169,Barry Gardiner,2016-07-20,2020-04-05,,Q272408,,
Q272408,Emily Thornberry,2020-04-06,,Q391169,,,
